index,CTYNAME,YEAR,POPESTIMATE,0to4,median_age,5to17,18to49,50to64,65plus
0,ALBANY,2020,314368,15098,38.3,42741,140670,60896,54963
1,ALBANY,2021,313743,14669,38.4,42299,140789,59856,56130
2,ALLEGANY,2020,46373,2414,39.9,7033,18587,9255,9084
3,ALLEGANY,2021,46106,2366,40,6924,18477,9109,9230
4,BRONX,2020,1466438,101318,35,263068,642814,263884,195354
5,BRONX,2021,1424948,95171,35.6,254493,616553,259633,199098
6,BROOME,2020,198199,9943,39.7,28617,81199,40147,38293
7,BROOME,2021,197240,9745,39.6,28465,81072,39151,38807
8,CATTARAUGUS,2020,76907,4293,42.2,12888,27958,16591,15177
9,CATTARAUGUS,2021,76426,4155,42.3,12684,27805,16297,15485
10,CAYUGA,2020,76095,3691,43.5,11148,28906,17139,15211
11,CAYUGA,2021,75880,3678,43.5,11038,28713,16830,15621
12,CHAUTAUQUA,2020,127424,6739,42.9,19314,47638,27397,26336
13,CHAUTAUQUA,2021,126807,6544,42.9,19225,47247,26981,26810
14,CHEMUNG,2020,83882,4497,41.8,13337,32086,17684,16278
15,CHEMUNG,2021,83045,4355,41.8,13147,31826,17251,16466
16,CHENANGO,2020,47073,2406,44.8,7339,16573,10880,9875
17,CHENANGO,2021,46537,2351,44.8,7279,16256,10605,10046
18,CLINTON,2020,79715,3752,40.7,10720,34189,16899,14155
19,CLINTON,2021,79596,3666,40.8,10712,34104,16593,14521
20,COLUMBIA,2020,61550,2463,49.3,7871,21008,14892,15316
21,COLUMBIA,2021,61778,2402,49.4,7696,21212,14757,15711
22,CORTLAND,2020,46723,2325,36.7,6683,20932,8944,7839
23,CORTLAND,2021,46311,2234,36.8,6508,20780,8866,7923
24,DELAWARE,2020,44186,1764,49.1,5481,15359,10302,11280
25,DELAWARE,2021,44378,1748,49.1,5362,15554,10191,11523
26,DUTCHESS,2020,295742,13379,42.5,41819,119530,67262,53752
27,DUTCHESS,2021,297112,13384,42.4,41212,120816,66695,55005
28,ERIE,2020,953254,51032,40.3,143007,384967,199578,174670
29,ERIE,2021,950683,49840,40.3,141996,384413,196258,178176
30,ESSEX,2020,37336,1486,48.7,4474,13344,8915,9117
31,ESSEX,2021,37268,1498,48.7,4389,13345,8773,9263
32,FRANKLIN,2020,47527,2254,40.4,7004,20022,9979,8268
33,FRANKLIN,2021,47456,2216,40.5,6898,20076,9843,8423
34,FULTON,2020,53160,2626,43.9,8143,19714,11973,10704
35,FULTON,2021,53116,2540,43.9,8116,19677,11924,10859
36,GENESEE,2020,58258,2997,42.8,8982,21830,13258,11191
37,GENESEE,2021,57853,2909,42.9,8852,21641,13105,11346
38,GREENE,2020,47890,2071,46.9,5754,17991,11203,10871
39,GREENE,2021,48499,2068,46.7,5659,18491,11126,11155
40,HAMILTON,2020,5078,138,56.9,530,1369,1386,1655
41,HAMILTON,2021,5119,142,57.1,534,1381,1367,1695
42,HERKIMER,2020,60007,2979,44.1,9385,21679,13265,12699
43,HERKIMER,2021,59937,2961,44,9270,21704,13115,12887
44,JEFFERSON,2020,116134,8646,33.5,19424,52144,19238,16682
45,JEFFERSON,2021,116295,8474,33.5,19536,52303,19020,16962
46,KINGS,2020,2727393,190063,35.9,432968,1251776,459875,392711
47,KINGS,2021,2641052,177211,36.5,422535,1189105,452119,400082
48,LEWIS,2020,26538,1634,42.2,4470,9481,5871,5082
49,LEWIS,2021,26573,1578,42.1,4515,9476,5794,5210
50,LIVINGSTON,2020,61699,2596,41.1,8332,25805,13418,11548
51,LIVINGSTON,2021,61578,2590,41.1,8238,25766,13189,11795
52,MADISON,2020,67890,3249,42.3,9698,26577,15376,12990
53,MADISON,2021,67658,3212,42.5,9478,26407,15159,13402
54,MONROE,2020,758554,40480,39.5,116878,311219,154536,135441
55,MONROE,2021,755160,39516,39.6,115334,310069,152241,138000
56,MONTGOMERY,2020,49433,3079,40.5,8363,18579,10037,9375
57,MONTGOMERY,2021,49558,3063,40.3,8445,18674,9904,9472
58,NASSAU,2020,1393978,75124,41.8,227699,538184,301464,251507
59,NASSAU,2021,1390907,73441,41.8,225699,537961,297968,255838
60,NEW YORK,2020,1687834,77488,38.1,166614,860621,296261,286850
61,NEW YORK,2021,1576876,70153,39.3,161541,770351,285915,288916
62,NIAGARA,2020,212252,10877,43.3,31678,79672,48252,41773
63,NIAGARA,2021,211653,10701,43.2,31413,79519,47275,42745
64,ONEIDA,2020,231695,12688,40.9,37047,89956,47952,44052
65,ONEIDA,2021,230274,12538,40.9,36560,89304,47247,44625
66,ONONDAGA,2020,475653,26667,39.4,74805,192317,98175,83689
67,ONONDAGA,2021,473236,25920,39.6,74015,191318,96466,85517
68,ONTARIO,2020,112475,5367,43.8,16938,41683,25003,23484
69,ONTARIO,2021,112508,5178,43.9,16727,41764,24704,24135
70,ORANGE,2020,401322,26821,36.9,76770,161146,79382,57203
71,ORANGE,2021,404525,26794,36.9,76966,163057,79144,58564
72,ORLEANS,2020,40236,1900,43.4,5741,15589,9427,7579
73,ORLEANS,2021,40191,1902,43.1,5664,15617,9227,7781
74,OSWEGO,2020,117351,6305,40.8,18427,46068,26532,20019
75,OSWEGO,2021,117387,6230,40.9,18327,45949,26315,20566
76,OTSEGO,2020,58351,2402,42.6,6816,24222,12310,12601
77,OTSEGO,2021,58123,2376,42.6,6724,24132,12061,12830
78,PUTNAM,2020,97660,4403,44.3,14727,37124,23671,17735
79,PUTNAM,2021,97936,4404,44.1,14440,37471,23408,18213
80,QUEENS,2020,2395791,141686,39.9,342063,1031083,486020,394939
81,QUEENS,2021,2331143,132236,40.6,333273,982678,478326,404630
82,RENSSELAER,2020,160923,8111,40.4,23197,67297,33844,28474
83,RENSSELAER,2021,160232,7928,40.5,22846,67048,33358,29052
84,RICHMOND,2020,495522,27742,40.3,80879,200245,104303,82353
85,RICHMOND,2021,493494,26958,40.4,80368,198578,103721,83869
86,ROCKLAND,2020,338121,28238,35.5,70229,125246,61610,52798
87,ROCKLAND,2021,339227,28347,35.2,70780,126115,60823,53162
88,ST. LAWRENCE,2020,108311,5391,39.5,16511,45000,22004,19405
89,ST. LAWRENCE,2021,108051,5239,39.6,16385,44868,21909,19650
90,SARATOGA,2020,235689,11187,43.3,35179,91829,52840,44654
91,SARATOGA,2021,237359,10880,43.4,34939,92400,53214,45926
92,SCHENECTADY,2020,157861,9283,39.8,25100,63881,32079,27518
93,SCHENECTADY,2021,158089,9151,39.7,25050,64284,31647,27957
94,SCHOHARIE,2020,29720,1300,46.1,3968,10929,6736,6787
95,SCHOHARIE,2021,29863,1301,45.9,3946,11003,6689,6924
96,SCHUYLER,2020,17857,863,47,2521,6216,4315,3942
97,SCHUYLER,2021,17752,828,47,2537,6113,4273,4001
98,SENECA,2020,33715,1754,41.9,5085,13014,7180,6682
99,SENECA,2021,33688,1768,41.8,5003,13050,7016,6851
100,STEUBEN,2020,93363,5105,43,15101,33955,20600,18602
101,STEUBEN,2021,92948,5080,42.9,14967,33794,20257,18850
102,SUFFOLK,2020,1524099,80313,42.1,239630,594302,346344,263510
103,SUFFOLK,2021,1526344,79113,42,237103,596025,345011,269092
104,SULLIVAN,2020,78643,4638,42.4,12255,29384,17336,15030
105,SULLIVAN,2021,79806,4630,42.2,12437,30089,17331,15319
106,TIOGA,2020,48355,2283,44.7,7755,17039,11186,10092
107,TIOGA,2021,47980,2270,44.8,7541,16976,10881,10312
108,TOMPKINS,2020,105404,3849,32.3,11704,56586,17161,16104
